,ID,forcefield,DGhyd,errorDGhyd,DGoct,errorDGoct,logPow,errorlogPow,Ac_w_coul,Ac_w_vdw,Ac_o_coul,Ac_o_vdw,Molecule_ID,exp_logP_mean,exp_logP_SEM
0,refCMC26,opls-aa,-47.09,0.08,-71.8,0.04,4.3,0.02,1.0,0.9968750000000001,0.9821428571428572,0.9812500000000001,refCMC26,-1.3,0.01
1,refJMC11,opls-aa,-45.9,0.13,-58.44,0.07,2.18,0.02,1.0,0.9968750000000001,0.9642857142857142,0.978125,refJMC11,1.42,0.01
2,refJMC12,opls-aa,-60.94,0.28,-71.45,0.07,1.83,0.05,0.995,0.9875,0.9714285714285714,0.978125,refJMC12,-1.02,0.01
3,refJMC13,opls-aa,-59.13,0.3,-77.74,0.05,3.24,0.05,0.975,0.990625,0.9571428571428571,0.9812500000000001,refJMC13,0.17,0.01
4,refJMC14,opls-aa,-67.08,0.1,-77.63,0.04,1.84,0.02,1.0,0.9968750000000001,0.9678571428571429,0.9875,refJMC14,-1.23,0.06
5,SM25,opls-aa,-57.61,0.43,-85.39,0.06,4.84,0.08,0.985,0.9828125,0.9464285714285714,0.978125,SM25,2.67,0.01
6,SM26,opls-aa,-58.31,0.24,-68.84,0.08,1.83,0.04,1.0,0.9875,0.9678571428571429,0.9812500000000001,SM26,1.04,0.01
7,SM27,opls-aa,-58.34,0.33,-72.28,0.08,2.43,0.06,0.98,0.990625,0.9035714285714286,0.9796875,SM27,1.56,0.11
8,SM28,opls-aa,-79.22,0.3,-90.35,0.06,1.94,0.05,0.985,0.990625,0.9249999999999999,0.975,SM28,1.18,0.08
9,SM29,opls-aa,-69.99,0.34,-80.89,0.06,1.9,0.06,0.99,0.984375,0.9107142857142857,0.9812500000000001,SM29,1.61,0.03
10,SM30,opls-aa,-73.58,0.24,-97.11,0.05,4.1,0.04,0.99,0.99375,0.9392857142857143,0.9796875,SM30,2.76,0.19
11,SM31,opls-aa,-62.31,0.35,-79.56,0.08,3.0,0.06,0.99,0.9859375,0.9714285714285714,0.978125,SM31,1.96,0.14
12,SM32,opls-aa,-59.64,0.47,-84.85,0.06,4.39,0.08,0.9800000000000001,0.9875,0.9642857142857143,0.9812500000000001,SM32,2.44,0.17
13,SM33,opls-aa,-69.84,0.34,-101.33,0.05,5.48,0.06,0.975,0.971875,0.975,0.9796875,SM33,2.96,0.21
14,SM34,opls-aa,-56.47,0.26,-82.19,0.07,4.48,0.05,0.995,0.9703125,0.9535714285714285,0.975,SM34,2.83,0.2
15,SM35,opls-aa,-94.3,0.25,-103.58,0.04,1.62,0.04,0.99,0.99375,0.9178571428571428,0.9875,SM35,0.88,0.02
16,SM36,opls-aa,-99.28,0.33,-117.04,0.04,3.09,0.06,0.985,0.9968750000000001,0.817857142857143,0.9765625,SM36,0.76,0.05
17,SM37,opls-aa,-85.09,0.31,-97.59,0.04,2.18,0.05,0.995,0.99375,0.9285714285714286,0.9796874999999999,SM37,1.45,0.1
18,SM38,opls-aa,-99.12,0.41,-111.55,0.04,2.16,0.07,0.985,0.9953125,0.9214285714285714,0.9812500000000001,SM38,1.03,0.07
19,SM39,opls-aa,-111.83,0.4,-132.55,0.03,3.61,0.07,0.99,0.9890625000000001,0.9249999999999999,0.9812500000000001,SM39,1.89,0.13
20,SM40,opls-aa,-90.77,0.34,-107.9,0.04,2.98,0.06,0.985,0.9921875,0.9357142857142857,0.9812500000000001,SM40,1.83,0.05
21,SM41,opls-aa,-55.98,0.09,-71.59,0.04,2.72,0.02,1.0,1.0,0.975,0.9859375,SM41,0.58,0.02
22,SM42,opls-aa,-49.76,0.11,-79.69,0.04,5.21,0.02,1.0,0.9984375,0.9678571428571429,0.984375,SM42,1.76,0.03
23,SM43,opls-aa,-54.33,0.11,-75.14,0.04,3.62,0.02,1.0,1.0,0.9642857142857143,0.9890625000000001,SM43,0.85,0.01
24,SM44,opls-aa,-87.11,0.13,-93.92,0.04,1.19,0.02,0.995,0.9953125,0.9642857142857143,0.99375,SM44,1.16,0.03
25,SM45,opls-aa,-82.27,0.21,-103.05,0.04,3.62,0.04,0.995,0.9953125,0.9357142857142856,0.9890625000000001,SM45,2.55,0.04
26,SM46,opls-aa,-86.4,0.12,-99.46,0.04,2.27,0.02,1.0,0.9984375,0.9428571428571428,0.9859375,SM46,1.72,0.01
