,simulation,time,R_c
0,gaff/SM25/SM25/FEP/water/Coulomb/0000/,291798.3,0.03922905835866469
1,gaff/SM25/SM25/FEP/water/Coulomb/0250/,50000.1,0.04273914521709566
2,gaff/SM25/SM25/FEP/water/Coulomb/0500/,100000.1,0.04676953230467696
3,gaff/SM25/SM25/FEP/water/Coulomb/0750/,50000.1,0.00029999400011999764
4,gaff/SM25/SM25/FEP/water/Coulomb/1000/,250000.1,0.039815840736637055
5,gaff/SM25/SM25/FEP/water/VDW/0000/,50000.1,0.045999080018399634
6,gaff/SM25/SM25/FEP/water/VDW/0050/,50000.1,0.0007399852002959941
7,gaff/SM25/SM25/FEP/water/VDW/0100/,50000.1,0.0014599708005839883
8,gaff/SM25/SM25/FEP/water/VDW/0200/,50000.1,0.013999720005599889
9,gaff/SM25/SM25/FEP/water/VDW/0300/,50000.1,0.0006599868002639947
10,gaff/SM25/SM25/FEP/water/VDW/0400/,50000.1,0.001499970000599988
11,gaff/SM25/SM25/FEP/water/VDW/0500/,50000.1,0.025579488410231797
12,gaff/SM25/SM25/FEP/water/VDW/0600/,50000.1,0.03203935921281575
13,gaff/SM25/SM25/FEP/water/VDW/0650/,100000.1,0.026029739702602975
14,gaff/SM25/SM25/FEP/water/VDW/0700/,50000.1,0.027139457210855786
15,gaff/SM25/SM25/FEP/water/VDW/0750/,150000.1,0.027126485823427846
16,gaff/SM25/SM25/FEP/water/VDW/0800/,100000.1,0.029369706302936973
17,gaff/SM25/SM25/FEP/water/VDW/0850/,50000.1,0.014899702005959881
18,gaff/SM25/SM25/FEP/water/VDW/0900/,50000.1,0.005999880002399952
19,gaff/SM25/SM25/FEP/water/VDW/0950/,50000.1,0.004619907601847963
20,gaff/SM25/SM25/FEP/water/VDW/1000/,50000.1,0.0011999760004799903
21,gaff/SM25/SM25/FEP/octanol/Coulomb/0000/,355000.0,0.2880056338028169
22,gaff/SM25/SM25/FEP/octanol/Coulomb/0125/,354999.8,0.43836901408450707
23,gaff/SM25/SM25/FEP/octanol/Coulomb/0250/,354999.8,0.5687267605633803
24,gaff/SM25/SM25/FEP/octanol/Coulomb/0375/,354999.8,0.4024394366197183
25,gaff/SM25/SM25/FEP/octanol/Coulomb/0500/,255000.0,0.04993725490196078
26,gaff/SM25/SM25/FEP/octanol/Coulomb/0750/,304999.8,0.08207540983606558
27,gaff/SM25/SM25/FEP/octanol/Coulomb/1000/,255000.0,0.04491372549019607
28,gaff/SM25/SM25/FEP/octanol/VDW/0000/,154999.8,0.022038709677419353
29,gaff/SM25/SM25/FEP/octanol/VDW/0050/,204999.8,0.035209756097560975
30,gaff/SM25/SM25/FEP/octanol/VDW/0100/,105000.0,0.019742857142857145
31,gaff/SM25/SM25/FEP/octanol/VDW/0200/,105000.0,0.019752380952380955
32,gaff/SM25/SM25/FEP/octanol/VDW/0300/,105000.0,0.0424952380952381
33,gaff/SM25/SM25/FEP/octanol/VDW/0400/,105000.0,0.0071333333333333335
