,ID,forcefield,DGhyd,errorDGhyd,DGoct,errorDGoct,logPow,errorlogPow,Ac_w_coul,Ac_w_vdw,Ac_o_coul,Ac_o_vdw,Molecule_ID,exp_logP_mean,exp_logP_SEM
0,refCMC26,ligpargen,-85.65,0.4,-90.14,0.06,0.78,0.07,0.85,0.9828125,0.6321428571428572,0.896875,refCMC26,-1.3,0.01
1,refJMC11,ligpargen,-95.92,0.63,-88.8,0.06,-1.24,0.11,0.8150000000000001,0.975,0.6321428571428572,0.8984375,refJMC11,1.42,0.01
2,refJMC12,ligpargen,-97.43,0.61,-97.4,0.06,-0.01,0.11,0.8450000000000001,0.9890625000000001,0.5178571428571429,0.93125,refJMC12,-1.02,0.01
3,refJMC13,ligpargen,-131.44,2.78,-141.8,2.27,1.8,0.62,0.465,0.19062500000000002,0.18214285714285713,0.1734375,refJMC13,0.17,0.01
4,refJMC14,ligpargen,-112.25,0.3,-108.94,0.07,-0.58,0.05,0.97,0.990625,0.5214285714285715,0.9328124999999999,refJMC14,-1.23,0.06
5,SM25,ligpargen,-106.72,0.56,-114.89,0.04,1.42,0.1,0.875,0.971875,0.7035714285714286,0.95,SM25,2.67,0.01
6,SM26,ligpargen,-88.1,0.7,-95.93,0.04,1.36,0.12,0.8150000000000001,0.984375,0.8678571428571429,0.9859375,SM26,1.04,0.01
7,SM27,ligpargen,-91.9,0.33,-83.94,0.04,-1.39,0.06,0.89,0.984375,0.7607142857142858,0.9703125,SM27,1.56,0.11
8,SM28,ligpargen,-77.02,0.9,-82.52,0.04,0.96,0.16,0.6350000000000001,0.9812500000000001,0.6785714285714286,0.9812500000000001,SM28,1.18,0.08
9,SM29,ligpargen,-87.71,0.43,-76.91,0.04,-1.88,0.08,0.855,0.975,0.8321428571428572,0.9453124999999999,SM29,1.61,0.03
10,SM30,ligpargen,-96.16,0.89,-92.28,0.04,-0.68,0.16,0.685,0.971875,0.675,0.9421875,SM30,2.76,0.19
11,SM31,ligpargen,-131.98,0.84,-130.32,2.11,-0.29,0.4,0.7800000000000001,0.7984375,0.1892857142857143,0.34687500000000004,SM31,1.96,0.14
12,SM32,ligpargen,-77.26,0.47,-78.77,0.04,0.26,0.08,0.79,0.9859375,0.6285714285714287,0.9171874999999999,SM32,2.44,0.17
13,SM33,ligpargen,-93.97,0.57,-104.48,0.05,1.83,0.1,0.89,0.9703125,0.6535714285714287,0.9578125,SM33,2.96,0.21
14,SM34,ligpargen,-118.95,0.96,-107.41,0.57,-2.01,0.19,0.6750000000000002,0.7203125,0.3285714285714286,0.38593750000000004,SM34,2.83,0.2
15,SM35,ligpargen,-138.39,0.59,-123.03,0.05,-2.67,0.1,0.8600000000000001,0.9671875,0.5071428571428571,0.9500000000000001,SM35,0.88,0.02
16,SM36,ligpargen,-163.98,1.74,-153.33,0.06,-1.85,0.3,0.4650000000000001,0.9671875,0.4357142857142857,0.9109375000000001,SM36,0.76,0.05
17,SM37,ligpargen,-177.42,2.19,-171.8,3.02,-0.98,0.65,0.4650000000000001,0.35468750000000004,0.30714285714285716,0.1375,SM37,1.45,0.1
18,SM38,ligpargen,-113.67,0.71,-106.09,0.05,-1.32,0.12,0.715,0.9796875,0.5535714285714285,0.9093749999999999,SM38,1.03,0.07
19,SM39,ligpargen,-123.09,0.74,-137.61,0.05,2.53,0.13,0.79,0.9531249999999999,0.5714285714285714,0.90625,SM39,1.89,0.13
20,SM40,ligpargen,-140.8,1.5,-135.1,0.57,-0.99,0.28,0.65,0.571875,0.21071428571428572,0.34375,SM40,1.83,0.05
21,SM41,ligpargen,-91.31,0.28,-102.68,0.04,1.98,0.05,0.895,0.9843750000000001,0.7357142857142857,0.9671875,SM41,0.58,0.02
22,SM42,ligpargen,-108.1,0.41,-129.37,0.05,3.7,0.07,0.8850000000000001,0.978125,0.5107142857142857,0.9390625,SM42,1.76,0.03
23,SM43,ligpargen,-165.28,0.18,-159.94,0.05,-0.93,0.03,0.9099999999999999,0.9921875,0.7464285714285716,0.9453125,SM43,0.85,0.01
24,SM44,ligpargen,-98.8,0.32,-109.48,0.04,1.86,0.06,0.87,0.9953125,0.775,0.9640625,SM44,1.16,0.03
25,SM45,ligpargen,-115.85,0.23,-135.92,0.05,3.49,0.04,0.9349999999999999,0.9874999999999999,0.7107142857142857,0.871875,SM45,2.55,0.04
26,SM46,ligpargen,-156.37,0.36,-152.77,0.08,-0.63,0.06,0.8300000000000001,0.9875,0.5,0.8984375,SM46,1.72,0.01
